datetime,data,type,unit,network,region
2017-10-13 23:30:00,0.0,pumps,MW,nem,NSW1
2017-10-13 23:35:00,0.0,pumps,MW,nem,NSW1
2017-10-13 23:40:00,0.0,pumps,MW,nem,NSW1
2017-10-13 23:45:00,0.0,pumps,MW,nem,NSW1
2017-10-13 23:50:00,0.0,pumps,MW,nem,NSW1
2017-10-13 23:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 00:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 01:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 02:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 03:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 04:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 05:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 06:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 07:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 08:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 09:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 10:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 11:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 12:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 13:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 14:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 15:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:45:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:50:00,0.0,pumps,MW,nem,NSW1
2017-10-14 16:55:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:00:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:05:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:10:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:15:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:20:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:25:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:30:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:35:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:40:00,0.0,pumps,MW,nem,NSW1
2017-10-14 17:45:00,0.0,pumps,MW,nem,NSW1
